Source	Data
N4536	23.1635
N4536	23.0974
N4536	22.6948
N4536	23.0196
N4536	22.7064
N4536	22.4091
N4536	22.6155
N4536	22.2403
N4536	22.0166
N4536	22.4451
N4536	22.6657
N4536	21.8748
N4536	21.5929
N4639	24.5282
N4639	24.4037
N4639	24.596
N4639	23.937
N4639	24.0624
N4639	24.4035
N4639	24.3422
N4639	23.8605
N4639	24.3524
N4639	24.3149
N4639	24.3337
N4639	24.2164
N4639	24.4664
N4639	24.2768
N4639	24.0849
N4639	24.6408
N4639	23.7953
N4639	24.2488
N4639	23.4251
N4639	23.8173
N4639	23.6944
N4639	23.2149
N4639	23.6854
N4639	23.0809
N4639	23.9955
N4639	23.9181
N4639	23.1258
N4639	23.2641
N4639	22.3778
N4639	22.8653
N4680	24.0193
N4680	24.8502
N4680	24.8084
N4680	25.5559
N4680	24.2948
N4680	25.0708
N4680	23.5481
N4680	23.244
N4680	24.1024
N4680	23.9168
N4680	24.0783
N5468	24.5797
N5468	24.6847
N5468	24.458
N5468	24.6318
N5468	25.9245
N5468	25.7454
N5468	24.918
N5468	25.0041
N5468	25.4632
N5468	23.6959
N5468	23.7936
N5468	23.4084
N5468	24.0722
N5468	24.6757
N5468	26.1738
N5468	24.4279
N5468	24.8978
N5468	25.167
N5468	25.2917
N5468	24.954
N5468	25.0181
N5468	25.5174
N5468	24.8064
N5468	25.2756
N5468	25.6082
N5468	25.1847
N5468	25.7482
N5468	25.2167
N5468	25.4071
N5468	25.8528
N5468	24.9475
N5468	24.6389
N5468	25.2147
N5468	24.9529
N5468	25.2731
N5468	23.7196
N5468	24.97
N5468	25.5493
N5468	24.8791
N5468	24.7921
N5468	24.5418
N5468	24.6375
N5468	24.135
N5468	25.0115
N5468	24.8992
N5468	24.4163
N5468	25.2746
N5468	24.9172
N5468	24.7425
N5468	24.2962
N5468	25.2078
N5468	25.5651
N5468	24.4637
N5468	25.1671
N5468	25.2074
N5468	23.7203
N5468	24.5208
N5468	25.1489
N5468	24.1026
N5468	25.1487
N5468	24.8954
N5468	24.8153
N5468	23.8105
N5468	25.1279
N5468	23.9119
N5468	24.3127
N5468	24.5851
N5468	24.6117
N5468	24.9316
N5468	24.7008
N5468	25.7497
N5468	25.2918
N5468	25.3254
N5468	24.3849
N5468	24.3095
N5468	24.216
N5468	24.1871
N5468	24.5522
N5468	24.1165
N5468	24.8584
N5468	24.9156
N5468	25.5144
N5468	24.2441
N5468	25.6101
N5468	25.045
N5468	24.3442
N5468	24.4865
