Paper: Title..., arXiv:251X.XXXXX
Authors: Högås M., Mörtsell E., Desmond H., Riess A.
Table: I
================================================================================
Byte-by-byte description of file: Table_I.txt
--------------------------------------------------------------------------------
Format Units Label    Explanations
--------------------------------------------------------------------------------
A5     ---   Field    Observed field
F11.8  dex   Phi_low  Lower bound of external potential
F11.8  dex   Phi_mean Mean external potential
F11.8  dex   Phi_high Upper bound of external potential
F12.8  dex   a_low    Lower bound of external acceleration
F12.8  dex   a_mean   Mean external acceleration
F12.8  dex   a_high   Upper bound of external acceleration
F12.8  dex   K_low    Lower bound of external curvature
F12.8  dex   K_mean   Mean external curvature
F12.8  dex   K_high   Upper bound of external curvature
F4.1   Mpc   Rmax     Cutoff radius
--------------------------------------------------------------------------------
Field       Phi_low   Phi_mean   Phi_high      a_low     a_mean     a_high       K_low      K_mean      K_high   Rmax
N5584      -8.58098   -8.48928   -8.33283  -15.63710  -15.19125  -15.19125   -55.22259   -55.10170   -54.82193    0.4
N5584      -7.27604   -7.20012   -7.07079  -15.67535  -15.25060  -15.14072   -55.21598   -55.07930   -54.83881    1.4
N5584      -5.98232   -5.84694   -5.77478  -15.30136  -15.20855  -15.05180   -55.07101   -55.02612   -54.82363    5.1
N5584      -4.68478   -4.58320   -4.51071  -14.82461  -14.66105  -14.54691   -54.88720   -54.82560   -54.64606   18.1
N5584      -4.06060   -4.02297   -3.99091  -14.51302  -14.43953  -14.30312   -54.81417   -54.75977   -54.64460   50.0
N5643      -9.05475   -8.83802   -8.77832  -16.41192  -15.83904  -15.54024   -55.93970   -55.50163   -55.28325    0.4
N5643      -7.83694   -7.80084   -7.53588  -16.42236  -15.83904  -15.63303   -55.80215   -55.50163   -55.29258    1.4
N5643      -5.40382   -5.24883   -4.62402  -14.65291  -14.50018  -13.86465   -54.95841   -54.79551   -54.23565    5.1
N5643      -4.87503   -4.78734   -4.60531  -14.57003  -14.44282  -13.97543   -54.90569   -54.69709   -54.26437   18.1
N5643      -4.06999   -4.02387   -3.98325  -14.33532  -14.29654  -13.99407   -54.75826   -54.35179   -54.29621   50.0
N5728      -8.83557   -8.75689   -8.56014  -16.14861  -16.05421  -15.41354   -55.40747   -55.28261   -55.00879    0.4
N5728      -7.31583   -7.22879   -7.14696  -15.98725  -15.82175  -15.20361   -55.44718   -55.25090   -54.87342    1.4
N5728      -6.04685   -5.88765   -5.65367  -15.52687  -15.26644  -15.00102   -55.19957   -54.84981   -54.77498    5.1
N5728      -5.09109   -4.98757   -4.92762  -15.43495  -15.28046  -15.08386   -55.10521   -55.01520   -54.73101   18.1
N5728      -4.01827   -4.00095   -3.95630  -14.47184  -14.46422  -14.41349   -54.99715   -54.92446   -54.67503   50.0
N5861      -8.75729   -8.66014   -8.36881  -16.02516  -16.02516  -15.33460   -55.38849   -55.24971   -55.03416    0.4
